Feature	Gain	Cover	Frequency
ctrx_quarter	0.221547543957552	0.018113012977692	0.0138318280963936
mcuentas_saldo	0.0437395182879195	0.0130255756003734	0.0191490666362991
mtarjeta_visa_consumo	0.03646796743669	0.0124822906332732	0.0158991564249236
mcaja_ahorro	0.0249737811923083	0.00744968114263214	0.0124302495685766
mdescubierto_preacordado	0.0208204007465439	0.00204603004097712	0.00163809490438606
foto_mes	0.0192421042638857	0.0151257932152879	0.0164159885070561
cpayroll_trx	0.0184508184039333	0.00803050601502552	0.00459892954439938
ctarjeta_visa	0.0176931627787141	0.000523200118171092	0.000639470203316485
mprestamos_personales	0.0162359222528646	0.00660091079285363	0.00313603195599043
mpayroll	0.016190064824017	0.0121220463681199	0.00548367599008383
mcuenta_corriente	0.0128372939893582	0.00690223209958024	0.0102490429846615
mdescubierto_preacordado_delta1	0.010325250467396	0.00372537791744997	0.000989864835270724
Master_status	0.0100931167941283	0.00170602945006831	0.000735828727103901
mpasivos_margen	0.00956298397297694	0.0089095880220529	0.0100738456686844
cproductos_delta1	0.00889731868362791	0.00401018231656876	0.00153297651479979
numero_de_cliente	0.0083494301584071	0.0100728073618743	0.0161356728014927
cliente_edad_lag1	0.00833775800073361	0.0089206172837139	0.0140858642045604
mactivos_margen	0.00823079227475214	0.00802430612234868	0.0133412756116576
ctrx_quarter_delta1	0.00810562675601157	0.00714257658983283	0.0119922562786338
mrentabilidad_annual_delta1	0.00799141495220034	0.00651842201260177	0.0130084007113011
Master_fechaalta	0.00776906989659242	0.00869455666339411	0.0122112529236052
cliente_edad	0.00756466230844205	0.00726218546768738	0.0126842856767434
mrentabilidad_annual	0.00747759325833986	0.00803298045176006	0.0112038683567368
Visa_status	0.00716974595439586	0.00111768890206945	0.000490552484735934
mcuenta_corriente_lag1	0.00632580219070419	0.00676410411284787	0.00986360888951181
mprestamos_personales_delta1	0.0062377253485365	0.00942055874513587	0.00320611088238128
Master_Fvencimiento	0.00623095525414499	0.00610051490599035	0.0109761118459665
Visa_fultimo_cierre_lag1	0.00606709492331351	0.00283546633690088	0.00569391276925638
Visa_Fvencimiento_lag1	0.00605563271854767	0.00525675487811604	0.0114666643307025
mrentabilidad_annual_lag1	0.00598395023334511	0.00689198678734021	0.00963585237874156
Visa_Fvencimiento	0.00592657283850251	0.00809748095434607	0.0114666643307025
Visa_fechaalta	0.00586865981031097	0.00528249730065949	0.0101176449976786
Master_Fvencimiento_lag1	0.00547130487220199	0.0041445276394054	0.0106782764088054
mcaja_ahorro_dolares_delta1	0.00542305043961159	0.00592874794875072	0.00599174820641748
Visa_fechaalta_lag1	0.00540565238777574	0.00452301368593186	0.00906646110181592
chomebanking_trx	0.00538831325630281	0.00430111344077977	0.00904894137021821
Master_fechaalta_lag1	0.00528824251111555	0.00586928775983963	0.0105556382876214
mcuentas_saldo_delta1	0.00528640599571642	0.0084837322481023	0.00965337211033927
mcaja_ahorro_lag1	0.00506587512432774	0.00568623734333465	0.00964461224454041
mactivos_margen_lag1	0.00495921131414015	0.00669944817733181	0.00833939224051088
mcaja_ahorro_delta1	0.00479904496292531	0.00797508376700986	0.00831311264311431
mrentabilidad	0.00474037767540921	0.00429667442741308	0.00800651734015435
mcomisiones_mantenimiento	0.00473011623758316	0.00703015517429844	0.00484420578676735
ccaja_ahorro	0.00463655963893837	0.00401887484150171	0.00291703531101904
Visa_mpagominimo	0.00462186520325301	0.00693861597245626	0.00932049720998274
mtransferencias_recibidas	0.00461976012412533	0.0052328540582348	0.00713053076026875
mrentabilidad_delta1	0.00459359182740146	0.00476977055554543	0.00819923438772918
cliente_antiguedad_lag1	0.00450769481087493	0.00470143311089763	0.00890878351743651
mactivos_margen_delta1	0.00449801935830294	0.00449204151582999	0.00811163572974062
Visa_mfinanciacion_limite	0.0044325103255395	0.004352091509751	0.00657865921494083
ctrx_quarter_lag1	0.00439984360075996	0.00728887243825958	0.00849706982489028
mcuenta_corriente_delta1	0.00436792684104304	0.00697234021519598	0.0081554350587349
ctarjeta_visa_trx	0.00432095497145895	0.00664813156371979	0.0106519968114088
Visa_mpagospesos_lag1	0.00419149736939284	0.00538338768989561	0.0080765962665452
cliente_antiguedad	0.0041231888888238	0.00430661604406212	0.00852334942228685
mcuentas_saldo_lag1	0.00410418501720059	0.00621510498097725	0.00769116217139553
Visa_mpagominimo_lag1	0.0039640348755665	0.00534773873105191	0.00733200767364244
Master_mfinanciacion_limite	0.0039372394653923	0.00508235427332811	0.00757728391601041
mrentabilidad_lag1	0.00380113750570697	0.00316734910379963	0.00678013612831451
mprestamos_personales_lag1	0.00365870327823765	0.00333039616572429	0.00154173638059865
Visa_fultimo_cierre	0.00362933957178211	0.00411568457662652	0.00673633679932023
chomebanking_trx_delta1	0.0035593429163564	0.00715597103799927	0.00709549129707333
Visa_msaldototal	0.00348531378975476	0.00223315170543397	0.00445877169161768
mcaja_ahorro_dolares_lag1	0.00343965426709414	0.00368471061833663	0.00625454418038316
Visa_mpagospesos_delta1	0.00343721610015451	0.0048851849030795	0.00756852405021155
mtransferencias_recibidas_lag1	0.00341028317760527	0.005176330749865	0.00706921169967676
chomebanking_trx_lag1	0.00338624267731595	0.00350633282719141	0.00709549129707333
ccomisiones_mantenimiento_delta1	0.00338192392681454	0.00467956417565844	0.0013928186620181
cproductos	0.00330352048340305	0.00653452821027986	0.00682393545730879
Master_mfinanciacion_limite_lag1	0.00327746875418251	0.00559562696118902	0.00610562646180261
mcomisiones	0.00309586958325493	0.00261527955476332	0.00509824189493417
