fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 212613	-0.999218520911408	7998	2000	20	5	8552000	102
20220520 212647	-0.89718055603804	7999	330	13	5	8552000	103
20220520 212719	-0.156244397843899	1955	977	9	5	10565000	104
20220520 212752	-0.926649087575639	1950	974	20	5	10715000	105
20220520 212817	-0.891216626176915	280	2	6	5	9648000	106
20220520 212833	-0.163025193421486	3810	1904	3	5	8326000	107
20220520 212849	-0.849378333982101	7987	2000	3	5	8552000	108
20220520 212914	-0.0739257093383202	2814	207	6	5	9695000	109
20220520 212939	-0.168998772384316	1956	972	6	5	10574000	110
20220520 213011	-0.18281986354473	7306	430	20	5	8326000	111
20220520 213041	-0.887774079528584	3350	442	9	5	9546000	112
20220520 213112	-0.478354084371707	1927	961	7	5	10704000	113
20220520 213140	-0.201290270837525	3411	327	7	5	9546000	114
20220520 213208	-0.126156676264404	1962	976	7	5	10565000	115
20220520 213240	-0.292451467149416	1955	972	18	5	10574000	116
