fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220526 033139	-0.412779899312432	4073	588	10	5	11273000	89
20220526 033329	-0.514224129686423	3625	939	14	5	11298000	90
20220526 033531	-0.873340121429495	3082	565	20	5	11382000	91
20220526 033717	-0.893424525001381	3065	649	10	5	11366000	92
20220526 033809	-0.878925706833493	2819	500	3	5	10201000	93
20220526 034004	-0.90346011403661	3204	714	20	5	11226000	94
20220526 034312	-0.858176326747971	2839	2	20	5	10898000	95
20220526 034459	-0.87755526265738	3347	876	11	5	11377000	96
20220526 034651	-0.951120867119882	3106	913	19	5	11184000	97
20220526 034822	-0.687735025014097	2039	1013	7	5	11293000	98
20220526 035012	-0.873249510810131	3457	992	20	5	11263000	99
20220526 035133	-0.602137669948027	1987	990	6	5	10948000	100
20220526 035252	-0.217851225751673	3491	1027	6	5	11224000	101
20220526 035436	-0.917993422770663	3573	885	10	5	11298000	102
20220526 035629	-0.314191209386071	3504	1	10	5	10973000	103
20220526 035817	-0.349810074875547	3483	1302	14	5	11151000	104
20220526 040022	-0.449346894611619	4380	3	12	5	10993000	105
20220526 040222	-0.885543802170139	2689	460	12	5	11031000	106
20220526 040350	-0.720608536519399	2957	841	7	5	11274000	107
20220526 040516	-0.160411917944114	3998	182	7	5	10859000	108
20220526 040639	-0.230653938833161	5050	2	7	5	10829000	109
20220526 040759	-0.265383935395356	3111	565	6	5	11382000	110
20220526 040931	-0.510251588529666	1194	589	7	5	10662000	111
20220526 041113	-0.890189567704369	2830	847	9	5	11274000	112
20220526 041234	-0.999996925362807	3414	879	6	5	11377000	113
20220526 041425	-0.800728145999932	3418	610	11	5	11340000	114
20220526 041608	-0.922284488626624	3939	1456	20	5	11067000	115
20220526 041759	-0.863692587010859	3688	618	11	5	11340000	116
