Feature	Gain	Cover	Frequency
ctrx_quarter	0.198199618015534	0.0164255281756415	0.0126761181582759
mcuentas_saldo	0.0411568673831475	0.0119728374036564	0.0177764122371944
mtarjeta_visa_consumo	0.0334944289145103	0.0122426296913957	0.0158627046482026
mcaja_ahorro	0.0288262226206268	0.00918759169933993	0.0131589342931133
ctrx_quarter_lag1	0.0250234088804448	0.00848043649723259	0.0092876267392354
mdescubierto_preacordado	0.0230445991123404	0.00144008167585524	0.00139577755343897
foto_mes	0.0198316282058144	0.0150638910689369	0.0161172804283896
cpayroll_trx	0.0171743466053394	0.00856963535168312	0.0048018259228372
ctarjeta_visa	0.0164895505907483	0.000494662897781157	0.000605714787341439
mpayroll	0.0160819159328041	0.0115356792355375	0.0056445595400079
mprestamos_personales	0.014008570248016	0.00801630990935611	0.00344994074529254
mcuenta_corriente	0.0134895508731023	0.0074036640055525	0.0103059298599833
Visa_fultimo_cierre_lag1	0.0122925415745749	0.00278502365449385	0.0060308124478778
mdescubierto_preacordado_delta1	0.0108327972312143	0.00394179544521914	0.00100952464556906
Master_status	0.0101582612806013	0.00216901338715703	0.000939296844138173
mpasivos_margen	0.00973646196555761	0.00863986095208091	0.00990212000175569
mactivos_margen	0.00942647629154674	0.00746719823021001	0.0129745863143572
cproductos_delta1	0.00884631228129636	0.00339007351819221	0.00130799280165035
cliente_edad	0.00862576342163367	0.00956441901449617	0.0156081288680156
numero_de_cliente	0.00850965669763861	0.0087802549824793	0.0162314006057148
mrentabilidad_annual_delta1	0.00840599200447646	0.00639573793560865	0.0128692446122109
ctrx_quarter_delta1	0.00829769858850454	0.00727574531809064	0.0119475047184304
mrentabilidad_annual	0.00809742331212327	0.00708630205977292	0.0112803406048369
Master_fechaalta	0.00770577817597711	0.00949077584398219	0.0120440679453979
cliente_edad_lag1	0.00756896083701486	0.00791852787260904	0.0130184786902515
mprestamos_personales_lag1	0.00640205123120613	0.00340239366255719	0.00179080893648773
Master_Fvencimiento	0.0062525810560634	0.00631108450886987	0.0111574419523329
mprestamos_personales_delta1	0.00625135957777442	0.00952312689474773	0.00339726989421937
Visa_status	0.00619805352070903	0.000665859118544705	0.00049159461001624
Visa_Fvencimiento	0.00617583190133017	0.00820482914160102	0.0113242329807312
Visa_Fvencimiento_lag1	0.00599118224402042	0.00462148758929258	0.0113242329807312
Visa_fechaalta_lag1	0.00591964716178223	0.00441973272405586	0.00936663301584515
mcuenta_corriente_lag1	0.00591049201247152	0.00665427207628093	0.0100337971294386
Master_Fvencimiento_lag1	0.00567075399051606	0.00399722588041725	0.0105429486898126
mrentabilidad_annual_lag1	0.00560936967964245	0.00707685240293672	0.0096738796471053
mcuentas_saldo_delta1	0.00550527811508358	0.00824417365648554	0.0104200500373085
mcaja_ahorro_dolares_delta1	0.0055031854293232	0.00644440137768781	0.00694377386647939
chomebanking_trx	0.0054005250427622	0.00454041188600929	0.00919984198744678
mcaja_ahorro_lag1	0.00532449813237269	0.00504219379410163	0.00971777202299961
Visa_fechaalta	0.00528998238715074	0.0049577015116557	0.0102269235833736
mrentabilidad	0.005175987035881	0.00408997059535524	0.00849756397313787
Master_fechaalta_lag1	0.00509768993403588	0.00545386425575006	0.0107272966685687
cliente_antiguedad_lag1	0.00475030632871079	0.0047504714755947	0.00918228503708906
ctarjeta_visa_trx	0.00470623492982463	0.00773977540233668	0.0111223280516174
mcuenta_corriente_delta1	0.00463278535515207	0.00842253576728595	0.00864679805117851
mactivos_margen_delta1	0.0045846646928396	0.00410123362096277	0.00770750120704034
mcomisiones_mantenimiento	0.00451787661058628	0.00639126225578146	0.0047579335469429
ccaja_ahorro	0.00451056681274346	0.00381530342596208	0.00280911205723566
mcaja_ahorro_delta1	0.00447633620597223	0.00690835912232462	0.00785673528508098
mrentabilidad_delta1	0.0044610294333941	0.00413096055049778	0.00807619716455252
Visa_mpagominimo	0.00437292953168468	0.00567214273786118	0.00849756397313787
Visa_mfinanciacion_limite	0.00428417519194054	0.00498333023843929	0.00646973620682088
mtransferencias_recibidas	0.00416608955271609	0.00444358672925661	0.00682965368915419
cliente_antiguedad	0.00404990300890566	0.00415896505030656	0.0082166527674143
Visa_mpagospesos_lag1	0.00392604305045941	0.0051352388441928	0.00812008954044683
mcuentas_saldo_lag1	0.0039155434257609	0.00659953812897486	0.00726857744809727
Visa_mpagominimo_lag1	0.00389352143962618	0.0055417677052277	0.00685598911469078
Master_mfinanciacion_limite	0.0038202973362969	0.00507870189501408	0.00742659000131677
chomebanking_trx_delta1	0.00378384488937644	0.00573002814614137	0.00720712812184524
mactivos_margen_lag1	0.00377685695132934	0.00686758458523865	0.0078303998595444
mcaja_ahorro_dolares_lag1	0.0036987868846741	0.00439505081527675	0.0066014133345038
Visa_fultimo_cierre	0.00363920545808181	0.00378254044342806	0.00673309046218672
ccomisiones_mantenimiento_delta1	0.00361768568022925	0.00525332376597662	0.00155379010665847
Visa_msaldototal	0.0035458215163596	0.00260493720828731	0.00419611113549577
cproductos	0.00352729199270663	0.00682714003568521	0.00723346354738182
mrentabilidad_lag1	0.00344511180863227	0.00382610375248844	0.00668919808629241
Visa_mpagospesos_delta1	0.00343029372318555	0.00502171116533615	0.00797963393758504
mtransferencias_recibidas_lag1	0.00340169657026327	0.00522242316630112	0.00700522319273142
mcomisiones_otras	0.00319922850336854	0.00354892985174696	0.0051441864548128
Visa_Finiciomora	0.00317504349150331	0.0061990306066253	0.00132554975200808
chomebanking_trx_lag1	0.00313473557773876	0.00317425671715645	0.00672431198700786
Master_mfinanciacion_limite_lag1	0.00310455998655295	0.00546807879839598	0.00583768599394285
Visa_cconsumos_lag1	0.00307293262482936	0.0044224967221915	0.0056445595400079
mpasivos_margen_lag1	0.00300385788806248	0.00474045415482811	0.0066453057103981
Visa_mpagospesos	0.00295908507684741	0.00526946731405058	0.00656629943378835
mpasivos_margen_delta1	0.00294575256436708	0.00384450194857276	0.00621516042663389
Master_fultimo_cierre	0.00294563907113831	0.00249020643559241	0.00585524294430058
mcaja_ahorro_dolares	0.00292913719064178	0.00547981450884739	0.00599569854716236
Visa_mconsumospesos_lag1	0.00284346315264508	0.00257417435115541	0.00585524294430058
ccomisiones_mantenimiento	0.00283236984341251	0.00298669588944985	0.00121142957468288
Master_fultimo_cierre_lag1	0.00281919419738171	0.00339715106090864	0.00559188868893473
Visa_mpagominimo_delta1	0.00279466129966053	0.0031630101566233	0.0053021990080323
mcomisiones	0.00278141817035143	0.00272223874317538	0.00488961067462582
Visa_mfinanciacion_limite_lag1	0.00273353664127199	0.00246465538432178	0.00501250932712988
Visa_mconsumospesos	0.00272863479902163	0.00262521852102752	0.00589913532019488
thomebanking	0.00268731802883509	0.00225998429523854	0.00151867620594303
mcuenta_debitos_automaticos	0.00263842040894989	0.00711498040799646	0.00415221875960146
ccomisiones_otras	0.00256527118172001	0.00462930087690711	0.00458236404336567
Visa_cconsumos	0.00248952039513568	0.00300497448506327	0.00512662950445508
Visa_mconsumospesos_delta1	0.00240517973497453	0.00379851530071673	0.00532853443356889
Visa_msaldopesos	0.00239874925332559	0.00319095687621733	0.00499495237677215
mtarjeta_visa_debitos_automaticos_lag1	0.00237706046267832	0.00467591395986183	0.00459992099372339
mtarjeta_visa_consumo_lag1	0.00233547143994707	0.00307959747995771	0.00344116227011368
Visa_mlimitecompra_lag1	0.00228374093863638	0.00343637254509843	0.00405565553263398
mpayroll_lag1	0.00225583517110092	0.00591934479108614	0.00413466180924373
Visa_mconsumosdolares_lag1	0.00224922956338741	0.00326216634103698	0.00465259184479656
mtransferencias_emitidas	0.002226748376762	0.00766885773522424	0.00582012904358513
mcomisiones_otras_lag1	0.00222660027949188	0.00142195248554646	0.0041873326603169
Visa_mlimitecompra	0.00220264753970798	0.00243459717139192	0.00386252907869903
cmobile_app_trx	0.00216883370054225	0.00319764863309359	0.00438923758943072
mcomisiones_lag1	0.00213996637765329	0.00152341492378236	0.00398542773120309
mcomisiones_mantenimiento_lag1	0.00213498263777337	0.00617826776668645	0.00390642145459334
Master_mlimitecompra	0.00211534903367649	0.00272133407881041	0.00362551024886977
cprestamos_personales	0.00208030207522899	0.00251428851256431	0.00109730939735768
tcallcenter	0.00206582547695343	0.00073878499114207	0.000974410744853619
mtransferencias_recibidas_delta1	0.00205844710029745	0.00385284768315302	0.00468770574551201
mtarjeta_visa_debitos_automaticos_delta1	0.00200949219656422	0.0045713265114889	0.00334459904314621
ccomisiones_otras_lag1	0.00198395885126342	0.00432486226129634	0.00401176315673967
mtransferencias_emitidas_delta1	0.00195903901305382	0.00349560618379851	0.00373085195101611
mtransferencias_emitidas_lag1	0.00191356540741249	0.00255733149478316	0.00455602861782908
mcomisiones_delta1	0.0019049975662671	0.00262123244848178	0.00377474432691042
cproductos_lag1	0.00187433846359205	0.00310670036448937	0.00365184567440636
Visa_msaldopesos_delta1	0.00184617927077404	0.00245758241523713	0.0035289470219023
mtarjeta_visa_debitos_automaticos	0.00182525095395526	0.00233819629521351	0.00379230127726814
cmobile_app_trx_lag1	0.00180162058891643	0.00423032292947729	0.0041873326603169
Master_mlimitecompra_lag1	0.00180025419014457	0.00228927390934872	0.00302857393670719
ccallcenter_trx_delta1	0.00179778070131477	0.00221212344930857	0.00109730939735768
mpagomiscuentas	0.00179454144286157	0.00409618433148388	0.00314269411403239
ccaja_ahorro_delta1	0.00178308247196913	0.00561325837217427	0.000570600886625993
mautoservicio	0.00175210837930494	0.00525066572364376	0.00367818109994294
mcomisiones_otras_delta1	0.00173625006373191	0.00213496437559526	0.00359039634815433
Visa_msaldototal_delta1	0.00172769434016965	0.00293359267055293	0.00371329500065839
mpayroll_delta1	0.00172579891755823	0.00759923493949431	0.00426633893692666
Visa_msaldototal_lag1	0.00172449347880151	0.00150572868971092	0.00301979546152833
