fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220530 181727	0	0	0	1	hist	lossguide	256	0	1	0.0100062138158636	0.311685863946788	3	1116	0.0118028492218975	104	13116000	78
20220530 182119	0	0	0	1	hist	lossguide	256	0	1	0.0101297660736934	0.315947927949592	5	467	0.0141561817942969	224	13421000	79
20220530 182141	0	0	0	1	hist	lossguide	256	0	1	0.299978315974501	0.998188335178338	10	6	0.0276748389130225	40	10964000	80
20220530 182531	0	0	0	1	hist	lossguide	256	0	1	0.0100202273492011	0.312104770530394	7	5	0.0225691434451305	1132	12806000	81
20220530 182818	0	0	0	1	hist	lossguide	256	0	1	0.0101731090677987	0.811494207459131	5	22	0.0131596984628951	240	12984000	82
20220530 183145	0	0	0	1	hist	lossguide	256	0	1	0.0100434833002266	0.332524797274322	5	16	0.0146156344260489	554	13500000	83
20220530 183220	0	0	0	1	hist	lossguide	256	0	1	0.112000010630371	0.299860062220829	10	7	0.0183508405605964	102	12561000	84
20220530 183605	0	0	0	1	hist	lossguide	256	0	1	0.0101106866171006	0.238870243492742	8	2043	0.0258450403442657	316	11944000	85
20220530 183939	0	0	0	1	hist	lossguide	256	0	1	0.010173327429071	0.826682843862926	10	1726	0.0183133855616384	260	12760000	86
20220530 184405	0	0	0	1	hist	lossguide	256	0	1	0.0100921753370422	0.286479086022395	5	1057	0.0124563303235033	340	13420000	87
20220530 184440	0	0	0	1	hist	lossguide	256	0	1	0.246414222407781	0.764229991875522	10	2	0.0192687167174189	203	13060000	88
20220530 184507	0	0	0	1	hist	lossguide	256	0	1	0.194414779829961	0.88209557509768	10	2	0.0176233320663246	120	12809000	89
20220530 184540	0	0	0	1	hist	lossguide	256	0	1	0.134876482514082	0.60000006570915	10	2048	0.0277823102616852	21	10452000	90
20220530 191132	0	0	0	1	hist	lossguide	256	0	1	0.0105219531149744	0.350451897595317	0	1907	0.00835556522281117	314	203000	91
20220530 191525	0	0	0	1	hist	lossguide	256	0	1	0.0100584270235096	0.876196694669832	4	2021	0.0135139580139539	103	12697000	92
20220530 192009	0	0	0	1	hist	lossguide	256	0	1	0.0103037311484792	0.994922331119515	3	1281	0.0133509632414625	214	12132000	93
20220530 192355	0	0	0	1	hist	lossguide	256	0	1	0.0100738816226672	0.360443252630038	4	1491	0.0124150930403479	156	12906000	94
20220530 192440	0	0	0	1	hist	lossguide	256	0	1	0.297944978862244	0.998673591019432	6	2	0.0179256779006265	234	12938000	95
20220530 192556	0	0	0	1	hist	lossguide	256	0	1	0.0433215820274413	0.64120749399976	3	2046	0.0128553883303099	37	12153000	96
20220530 192627	0	0	0	1	hist	lossguide	256	0	1	0.29749583290421	0.999780438118664	3	1424	0.0135442077266405	8	8721000	97
20220530 193022	0	0	0	1	hist	lossguide	256	0	1	0.0101718945177096	0.291278362212339	6	95	0.012909677755976	274	13154000	98
20220530 193438	0	0	0	1	hist	lossguide	256	0	1	0.0101678011332759	0.497185059977148	5	3	0.0121986834144257	1521	12999000	99
20220530 193517	0	0	0	1	hist	lossguide	256	0	1	0.25318810414382	0.999957125820993	9	2	0.0186215340346095	184	12928000	100
20220530 193544	0	0	0	1	hist	lossguide	256	0	1	0.293510159359136	0.989465191908928	7	53	0.0207597697263324	12	11132000	101
20220530 193930	0	0	0	1	hist	lossguide	256	0	1	0.0100853833459085	0.361601900522042	7	1910	0.0197235875957934	279	12380000	102
20220530 194146	0	0	0	1	hist	lossguide	256	0	1	0.0101389476478362	0.313270791124678	10	5	0.0243337349122012	381	12391000	103
20220530 194512	0	0	0	1	hist	lossguide	256	0	1	0.010029622226974	0.328699844805049	5	23	0.0187526072904966	441	13289000	104
20220530 194553	0	0	0	1	hist	lossguide	256	0	1	0.298366898746906	0.443096752862233	5	2	0.0177303468321915	210	13253000	105
20220530 194946	0	0	0	1	hist	lossguide	256	0	1	0.0100874226167009	0.999644852495356	6	546	0.01380766151424	203	13074000	106
20220530 195231	0	0	0	1	hist	lossguide	256	0	1	0.0105243220907009	0.986317415155773	10	3	0.0325080018931258	747	11157000	107
20220530 195501	0	0	0	1	hist	lossguide	256	0	1	0.0105467219194254	0.411954368798078	3	17	0.0134502966930487	262	13256000	108
20220530 195838	0	0	0	1	hist	lossguide	256	0	1	0.0101039940118394	0.329540525271061	7	741	0.0134885534160612	247	13226000	109
20220530 200155	0	0	0	1	hist	lossguide	256	0	1	0.0102228501540116	0.309262488900124	5	1067	0.0103610360403446	84	12860000	110
20220530 200603	0	0	0	1	hist	lossguide	256	0	1	0.0102806789733015	0.960408141486091	6	209	0.0177325552094867	264	12146000	111
20220530 201009	0	0	0	1	hist	lossguide	256	0	1	0.010121665801784	0.297092369308127	8	2	0.0199463203880199	1678	13060000	112
20220530 201037	0	0	0	1	hist	lossguide	256	0	1	0.297721769421347	0.747740898175011	6	3	0.0129431678108598	65	12674000	113
20220530 201108	0	0	0	1	hist	lossguide	256	0	1	0.299494371706079	0.439339039464822	6	2	0.0136031647787242	161	12938000	114
20220530 201405	0	0	0	1	hist	lossguide	256	0	1	0.0100613982250617	0.227110559318918	9	1866	0.0116667563452651	122	12724000	115
20220530 201811	0	0	0	1	hist	lossguide	256	0	1	0.0103720180340816	0.201898480979257	9	7	0.0298581132960741	1057	11882000	116
20220530 201848	0	0	0	1	hist	lossguide	256	0	1	0.299522597047864	0.49901542128079	9	3	0.0178194616944478	187	12757000	117
20220530 202254	0	0	0	1	hist	lossguide	256	0	1	0.0101539455848744	0.236278473530103	5	2048	0.030751137842557	276	9758000	118
20220530 202644	0	0	0	1	hist	lossguide	256	0	1	0.010344611377814	0.280702553707849	9	1090	0.0227174391014269	350	12424000	119
20220530 202710	0	0	0	1	hist	lossguide	256	0	1	0.266399588987545	0.99894275823013	5	2	0.0129187460966359	114	12795000	120
